# eventtype event clockticks time[s]  Energy[%]
U 262 193745802 38.668723607736936 67.72222983973003
U 263 193910254 38.70154566846819 67.6826111681493
U 264 196035377 39.1256875287512 67.5065776239362
U 265 196200123 39.1585688353115 67.46705285720206
D 266 196481530 39.192132752325946 67.42194876709861
D 267 196641682 39.224078156938006 67.37748825381102
D 268 199424389 39.779145311484264 67.03670684264183
D 269 199585004 39.81118261282571 66.99241519663228
U 270 199638774 39.84486959590845 66.94752833686603
U 271 199804301 39.87790788489804 66.90824867121779
U 272 201923926 40.300953503232314 66.73561289102031
U 273 202089757 40.33405115925942 66.69642581494443
D 274 202375564 40.36781513247684 66.65167430040441
D 275 202536635 40.39994508373772 66.60755168304662
D 276 205317970 40.95473882994101 66.27149581013184
D 277 205479529 40.986961050110146 66.22754033161931
U 278 205530883 41.02084878974726 66.18300407491616
U 279 205697517 41.05410471765643 66.14406012051715
U 280 207811625 41.47604985261274 65.97476051904128
U 281 207978553 41.50936526877201 65.9359078575347
D 282 208268767 41.543330224068164 65.89150535836364
D 283 208430769 41.57564547267966 65.84771718558031
D 284 211210743 42.130166189582205 65.51631242972006
D 285 211373211 42.16257408087577 65.47268968939677
U 286 211422195 42.19666350816132 65.42850050104398
U 287 211589916 42.23013850145685 65.38988900843209
U 288 213698495 42.65097884630925 65.22386519290724
U 289 213866518 42.684513449066074 65.18534371516064
D 290 214161137 42.71868031800217 65.14128671919568
D 291 214324076 42.75118161790929 65.09782958596523
D 292 217102675 43.305429662230445 64.77100288541631
D 293 217266083 43.33802398019418 64.72770950136182
U 294 217312689 43.37231603196178 64.68386389547551
U 295 217481520 43.40601153318524 64.64558165947905
U 296 219584532 43.82574271563272 64.48277440492545
U 297 219753660 43.85949794752668 64.44458092466746
D 298 220052693 43.89386766740005 64.40086596697317
D 299 220216559 43.926555775804594 64.35773651382569
D 300 222993806 44.48053148230352 64.03541614102795
D 301 223158145 44.513312985748705 63.99244877786994
U 302 223202366 44.547808604618 63.94894331372457
U 303 223372315 44.5817260726701 63.910987173209875
U 304 225469757 45.0003436545317 63.751338393945126
U 305 225640000 45.0343209744577 63.71346976871269
D 306 225943432 45.06889448835339 63.67009343078909
D 307 226108248 45.1017701657278 63.627288343049536
D 308 228884133 45.65547384755985 63.30940387833698
D 309 229049411 45.68844329857374 63.26675924039981
U 310 229091273 45.723143433007415 63.22359052568898
U 311 229262341 45.75728434343207 63.185957363143515
U 312 231354170 46.17478382032232 63.0294100915214
U 313 231525535 46.208984703816895 62.99186322194609
D 314 231833396 46.24376296065941 62.94882213095581
D 315 231999155 46.27682697076023 62.90633813799434
D 316 234773667 46.83025891982175 62.59282043686827
D 317 234939894 46.86341708378293 62.550495277048945
U 318 234979395 46.89832268813654 62.507659961697726
U 319 235151572 46.932688533416574 62.47034670493493
U 320 237237798 47.349065334390005 62.31684506037883
U 321 237410281 47.38349127392637 62.27961688953381
D 322 237722573 47.41847522853297 62.23690771778091
D 323 237889276 47.4517283384151 62.194741592464034
D 324 240662436 48.0048888256817 61.88552276271278
D 325 240829611 48.038236471273606 61.843513874442195
U 326 240866738 48.07334850584981 61.801008655848484
U 327 241040061 48.10794079570761 61.7640122691238
U 328 243120628 48.523190282885984 61.613501443645134
U 329 243294249 48.55784278817512 61.576588956210436
D 330 243610967 48.59303340130908 61.53420841971749
D 331 243778634 48.626476381339714 61.49235697713539
D 332 246550414 49.179365657194765 61.18737035017491
D 333 246718567 49.212903556419185 61.145674570849756
U 334 246753328 49.24822298752349 61.103496187156594
U 335 246927797 49.28304324923206 61.066813680437356
U 336 249002689 49.697160717402056 60.919239906695644
U 337 249177456 49.732041315701586 60.882640128437615
D 338 249498606 49.76743955412725 60.84058498657419
D 339 249667220 49.80107317800041 60.79904508372268
D 340 252437650 50.35369147255588 60.498225190971574
D 341 252606743 50.387420400749264 60.45683939872343
U 342 252639172 50.42294820074295 60.41498463358195
U 343 252814799 50.457997979438794 60.378613055374295
U 344 254883986 50.870978655629195 60.2339235901449
U 345 255059910 50.90608889205874 60.19763358720643
D 346 255385493 50.941695728595306 60.155900642931385
D 347 255555062 50.975520773344904 60.11466917855668
D 348 258324131 51.527868296752324 59.81795172432906
D 349 258494196 51.561789032598824 59.77687283702942
U 350 258524285 51.597526179956716 59.735338515122805
U 351 258701061 51.63280703896292 59.699274956617366
U 352 260764530 52.044646081994145 59.55741805356131
U 353 260941608 52.07998751985961 59.521434931817936
D 354 261271641 52.11580393343874 59.48002102923493
D 355 261442178 52.14982117945423 59.43909494207524
D 356 264209892 52.701898122214295 59.14641678024955
D 357 264380917 52.736011447758194 59.10564175637793
U 358 264408653 52.771958927125105 59.064424746511285
U 359 264586602 52.8074724482896 59.02866633348838
U 360 266644338 53.218164948298664 58.889591228828785
U 361 266822570 53.2537391694239 58.85391213325632
D 362 267157054 53.28976614514535 58.81281415794485
D 363 267328559 53.32397637618507 58.7721904270202
D 364 270094926 53.87578290944254 58.48348953889512
D 365 270266912 53.910089610105956 58.443015378179254
U 366 270292328 53.946248412352574 58.40211258501126
U 367 270471433 53.98199619637803 58.36665648809605
U 368 272523397 54.3915371743232 58.230313369900344
U 369 272702819 54.42734577938984 58.19493548395678
D 370 273041742 54.463584308579065 58.15415036256025
D 371 273214218 54.49798831178551 58.11382600562432
D 372 275979224 55.04952458761957 57.82904147340487
D 373 276152187 55.08402545221399 57.78886521109389
U 374 276175273 55.12039657449735 57.748273584858836
U 375 276355566 55.15638024129889 57.71311700846504
U 376 278401744 55.56476464842649 57.57945700463606
U 377 278582343 55.6008092573226 57.54437754965329
D 378 278925722 55.63726033758964 57.50390224869475
D 379 279099176 55.67185890350357 57.4638743220244
D 380 281862833 56.22312505521072 57.18294630671998
D 381 282036773 56.2578208759555 57.14306502055059
U 382 282057536 56.294405321776885 57.102781548801296
U 383 282239014 56.33062651083359 57.06792173606346
U 384 284279347 56.73784922813188 56.93689689034238
U 385 284461153 56.77413148030895 56.90211312493219
D 386 284808996 56.810796115607005 56.86194465014599
D 387 284983430 56.84559003818229 56.82221024856666
D 388 287745734 57.396586180553875 56.54507997059892
D 389 287920652 57.43147775308672 56.505490772463425
U 390 287939097 57.46827653235259 56.46551248159886
U 391 288121776 57.504736903077045 56.430946713005575
U 392 290156278 57.910792740694475 56.3025099664098
U 393 290339266 57.947314295533374 56.26801918588456
D 394 290691579 57.98419349621928 56.22815458187867
D 395 290866986 58.01918357283741 56.188710837304605
D 396 293627937 58.56990980242892 55.9153205511683
D 397 293803844 58.60499792582282 55.87602059187516
U 398 293819989 58.642012054905194 55.83634454733981
U 399 294003864 58.67871328701576 55.80207013927032
U 400 296032503 59.08359698365885 55.676175310567984
U 401 296216688 59.12035952084544 55.64197484637217
D 402 296573471 59.15745430374055 55.60241119582026
D 403 296749878 59.19264133522595 55.56325527688747
D 404 299509473 59.74309773061982 55.29354825262486
D 405 299686362 59.77838320739775 55.25453471893723
U 406 299700193 59.815613709196015 55.21515802384565
U 407 299885296 59.852557503103604 55.18117232853293
U 408 301908026 60.25626372540134 55.05777409586917
U 409 302093439 60.293268945311596 55.023861315015324
D 410 302454687 60.330580333763386 54.984595738099166
D 411 302632092 60.36596512439824 54.94572484960165
D 412 305390334 60.916151746460635 54.67964535018267
D 413 305568223 60.95163538261126 54.64091546475165
U 414 305579756 60.98908328661496 54.601835259711315
U 415 305766081 61.0262713638188 54.568135664500126
U 416 307782878 61.42879470566475 54.44718954803731
U 417 307969519 61.46604432975924 54.41356185249261
D 418 308335237 61.50357335370426 54.37459150629827
D 419 308513638 61.539156711243486 54.33600288896056
D 420 311270534 62.08907360337609 54.07349615232471
D 421 311449413 62.12475620836748 54.03504717298266
U 422 311458650 62.162422550719896 53.99626063374778
U 423 311646198 62.19985665420962 53.96284456197886
U 424 313657047 62.601191636071 53.84430690436818
U 425 313844922 62.638687407300225 53.8109617307303
D 426 314215150 62.67643510332726 53.77228380872403
D 427 314394529 62.71221783901447 53.73397473721685
D 428 317150071 63.26186502739302 53.47498695446875
D 429 317329962 63.29774741418909 53.43681617362976
U 430 317336908 63.33563323775283 53.39832051366245
U 431 317525700 63.373315132427436 53.365185421254004
U 432 319530567 63.773456200626114 53.249013372391204
U 433 319719676 63.81119988384641 53.21594819108328
D 434 320094389 63.84916729526206 53.177559922390564
D 435 320274791 63.88515022384363 53.139527706945046
D 436 323028980 64.43452771766532 52.884006004175426
D 437 323209863 64.47061070274107 52.84611074930034
U 438 323214523 64.50871705716155 52.80790321751092
U 439 323404578 64.54664853025345 52.775046594239335
U 440 325403438 64.94559005622274 52.661198093132505
U 441 325593793 64.98358343862178 52.62841040806278
D 442 325973007 65.02177161551501 52.59030905704445
D 443 326154400 65.057955555256 52.55255104143191
D 444 328907234 65.607063346967 52.30044346173608
D 445 329089148 65.64334775032302 52.2628210927271
U 446 329091515 65.68167569209682 52.224898971011186
U 447 329282828 65.71985855361055 52.192318341160636
U 448 331275648 66.11759483311569 52.08075209950694
U 449 331467268 66.15583972465082 52.0482394475149
D 450 331850970 66.19424972395953 52.01042231316558
D 451 332033388 66.23063549665939 51.972935874543
D 452 334784869 66.7794735621816 51.72419135751642
D 453 334967788 66.81596020736025 51.686839268996984
U 454 334967889 66.85451079990084 51.64919987555373
U 455 335160467 66.89294688306164 51.616892794772575
U 456 337147207 67.28947213539128 51.507568281201365
U 457 337340108 67.32797036923824 51.47532823156581
D 458 337728321 67.36660325481668 51.437792646974216
D 459 337911741 67.40319168582417 51.40057519535557
D 460 340661879 67.95175998477865 51.15514356068024
D 461 340845818 67.98844969887976 51.118059178195274
U 462 340843654 68.02722401258775 51.08069986448441
U 463 341037510 68.06591517430297 51.04866392074914
U 464 343018159 68.46122354143377 50.94154134551685
U 465 343212340 68.49997697444837 50.909571499466345
D 466 343605048 68.53883381713572 50.87231483129379
D 467 343789510 68.57562573536576 50.83536380903455
D 468 346538280 69.12392421128828 50.59319573860774
D 469 346723242 69.16081782498455 50.55637652055866
U 470 346718812 69.19981693731548 50.5192946710383
U 471 346913951 69.2387650586498 50.48752748446169
U 472 348888487 69.6328506043688 50.38256778281464
U 473 349083952 69.67186111756037 50.35086577305702
D 474 349481176 69.71094299525116 50.31388542099621
D 475 349666639 69.74793923319938 50.27719830230069
D 476 352414068 70.29596781375143 50.03824532258142
D 477 352600052 70.33306616130481 50.00168875881427
U 478 352593375 70.37229115684242 49.964881790732754
U 479 352789821 70.41149814349987 49.93338101229319
U 480 354758197 70.80435485250597 49.830545830820256
U 481 354954947 70.84362435152394 49.79910932106218
D 482 355356692 70.88293234923736 49.76240271734611
D 483 355543189 70.92013374299671 49.72597700775603
D 484 358289275 71.4678923401713 49.49019147434965
D 485 358476281 71.50519625944852 49.453895085933105
U 486 358467358 71.54464822997173 49.41736044937053
U 487 358665113 71.58411601280274 49.38612376092909
U 488 360627285 71.97573778976503 49.28537544261052
U 489 360825347 72.01526820539752 49.25420212714522
D 490 361231621 72.0548034153487 49.21776673602892
D 491 361419155 72.09221080462527 49.18159997197198
D 492 364163883 72.63969931494982 48.94893505195648
D 493 364351929 72.67720964743884 48.912896391063505
U 494 364340751 72.71688969199795 48.876631567574144
U 495 364539827 72.75662022750323 48.845656680948956
U 496 366495787 73.14700089609384 48.74695824854163
U 497 366695166 73.18679418478247 48.71604585168212
D 498 367105972 73.2265577064565 48.67987916896898
D 499 367294535 73.26417193458597 48.64396891720895
D 500 370037909 73.81139023931605 48.414378574478654
D 501 370226989 73.84910783014088 48.37859522166503
U 502 370213590 73.8890170551324 48.34259772333247
U 503 370413980 73.92901232599698 48.311882381413284
U 504 372363690 74.3181456278802 48.21519752812605
U 505 372564398 74.35820377224623 48.18454380389413
D 506 372979727 74.39819671247068 48.1486433564249
D 507 373169342 74.43601862643409 48.112987213665605
D 508 375911353 74.98296659174657 47.88642619023955
D 509 376101496 75.02089228968566 47.85089575845485
U 510 376085847 75.06103180892278 47.81516312915761
U 511 376287569 75.10129382455922 47.784705101940574
U 512 378231002 75.48917341834618 47.68999817399632
U 513 378433050 75.52949842773333 47.659600905634385
D 514 378852939 75.56972190075413 47.62396425083267
D 515 379043590 75.60775235119418 47.58855984323987
D 516 381784236 76.15442982837433 47.36498364834377
D 517 381975421 76.19256448587531 47.32970377689407
U 518 381957551 76.23293542066845 47.2942335903622
U 519 382160628 76.2734662177661 47.26403068038132
U 520 384097751 76.66008567794108 47.171266665061964
U 521 384301142 76.70067958897182 47.14112366461908
D 522 384725572 76.74113471652797 47.10574839002733
D 523 384917267 76.77937455776558 47.07059337275925
D 524 387656561 77.32578138338876 46.84995826474547
D 525 387848788 77.36412585658526 46.814926624850216
U 526 387828709 77.4047293358141 46.7797164835829
U 527 388033150 77.44553097892152 46.74976651896868
U 528 389963926 77.83088379471549 46.6589110308447
U 529 390168672 77.87174867186518 46.629020138858934
D 530 390597644 77.91243658326721 46.59390386180638
D 531 390790393 77.95088667331765 46.55899591872754
D 532 393528333 78.49702266942688 46.34125889215834
D 533 393721630 78.53557781815644 46.30647317963347
U 534 393699327 78.57641497835587 46.27152071929771
U 535 393905130 78.61748956045898 46.24182155559415
U 536 395829507 79.00156913470488 46.152840825105606
U 537 396035641 79.04270707088952 46.12319990989211
D 538 396469170 79.08362890309684 46.088340276642334
D 539 396662985 79.12229010368851 46.05367711947351
D 540 399399561 79.66815507797097 45.838795888518376
D 541 399593912 79.7069217657901 45.80425382986507
U 542 399569409 79.74799375122174 45.76955671221767
U 543 399776588 79.7893433943633 45.74010623555749
U 544 401694569 80.17214304227913 45.652967095461605
U 545 401902064 80.21355615946186 45.62357405302895
D 546 402340153 80.25471305716344 45.588968738743546
D 547 402535038 80.29358623375123 45.55454810704421
D 548 405270248 80.83917997970627 45.34248109607294
D 549 405465663 80.87815907390765 45.30818044396495
U 550 405438958 80.91946703664583 45.27373635783824
U 551 405647533 80.96109389253765 45.24453248066113
U 552 407559062 81.34260684050197 45.159202354575434
U 553 407767947 81.38429729031618 45.1300551081288
D 554 408210597 81.42569040600996 45.09570181631012
D 555 408406556 81.46477642779433 45.06152147693435
D 556 411140406 82.01009872490013 44.85222780139662
D 557 411336898 82.0492910965282 44.818166337504465
U 558 411307991 82.09083619653873 44.78397300242205
U 559 411517956 82.13274244720682 44.75501366376641
U 560 413423008 82.5129618314765 44.67146055211095
U 561 413633292 82.55493179586789 44.64255705166776
D 562 414080511 82.59656228994378 44.60845351372484
D 563 414277553 82.63586202988726 44.57451126038465
D 564 417010037 83.18091264375977 44.36795071668824
D 565 417207608 83.22031916763211 44.33412624738605
U 566 417176501 83.26210257285848 44.30018141018617
U 567 417387875 83.30429043130339 44.27146457571074
U 568 419286410 83.68320929667894 44.18965704800463
U 569 419498106 83.72546098856424 44.160995270016656
D 570 419949918 83.76733002938751 44.12713924485272
D 571 420148012 83.80684436423111 44.0934328977387
D 572 422879143 84.35162304678602 43.88956595009035
D 573 423077778 84.3912446015053 43.85597630863265
U 574 423044502 84.4332674879508 43.82227774236862
U 575 423257305 84.4757391988266 43.79380140521413
U 576 425149289 84.85335049729278 43.71370858461587
U 577 425362417 84.89588616123991 43.68528653159908
D 578 425818806 84.93799492523449 43.651675805197314
D 579 426017981 84.97772473551638 43.61820321057075
D 580 428747753 85.52223122512122 43.41699097772315
D 581 428947459 85.56206869309406 43.383634023453894
U 582 428912014 85.60433224491017 43.35017952821359
U 583 429126243 85.64709008522449 43.32194170575823
U 584 431011637 86.0233866745217 43.243533261446984
U 585 431226199 86.0662085874496 43.21534896162296
D 586 431687178 86.10855825918532 43.18198134664674
D 587 431887433 86.14850442925673 43.148740376463046
D 588 434615838 86.69273845088009 42.950144617693795
D 589 434816642 86.73279271833759 42.917018234022606
U 590 434779023 86.77529812790951 42.883805640019474
U 591 434994695 86.81834440774244 42.855804374703325
U 592 436873468 87.19331904991014 42.77905050920323
U 593 437089478 87.23642952180785 42.75110201614466
D 594 437555039 87.27902129408761 42.71797535149436
D 595 437756392 87.31918471213024 42.6849639027827
D 596 440483427 87.86314597749036 42.48894700899292
D 597 440685327 87.90341793450172 42.45604910747803
U 598 440645539 87.94616640253655 42.42307626379237
U 599 440862684 87.98950346578727 42.39530962580379
U 600 442734782 88.36314882564344 42.32018106412649
U 601 442952248 88.40655020031369 42.29246645641094
D 602 443422421 88.44938527426153 42.25957860699527
D 603 443624863 88.48976683230605 42.226794602156176
D 604 446350531 89.03345504001346 42.033319581578645
D 605 446553516 89.07394558050431 42.00064809534419
U 606 446511569 89.11693831612364 41.96791288295653
U 607 446730181 89.1605685412657 41.94037896458298
U 608 448595592 89.53287718484508 41.86684694403155
U 609 448814524 89.57657184066784 41.839364324903286
D 610 449289295 89.61965142581921 41.80671318108699
D 611 449492841 89.6602520197628 41.77415456685815
D 612 452217138 90.20366685546001 41.58318503310118
D 613 452421235 90.24437687723248 41.55073792207458
U 614 452377134 90.28761509806029 41.51823824364445
U 615 452597214 90.33154089894 41.490935163132534
U 616 454455902 90.70250529187226 41.41897142560446
U 617 454676315 90.74649564259164 41.391718922635405
D 618 455155720 90.78982095698474 41.35930239993241
